name,sku,barcode,brand,category,subcategory,description,shortDescription,price,mrp,costPrice,gst,stockQuantity,reorderLevel,weight,dimensions,hsn,warehouseLocation,status
Men's Argentina 2022 World Champions Graphic Printed Football Jersey - Black & Royal Blue,SPO-MENS-2-6,250FBFB2449A4,Player Version ,Sports & Active Wear,Jerseys,Polyester. Short Sleeve. V-Neck. Baroque Graphic Printed. Sports. Regular Fit,,1799,1999,680,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men's Black and White Striped Juventus Home Football Jersey T-Shirt,CLO-MENS-2-2,53756185885A4,,Clothing,Sportswear,Polyester. Short Sleeve. Polo Collar. Striped. Sports. Slim Fit,,1799,1999,0,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Puma Men's AC Milan Home Red & Black Striped Football Jersey Set with Shorts,SPO-PUMAMEN-2-3,671BCBA324F24,,Sports Wear,Football Kits & Jerseys,Polyester. Short Sleeve. Round Neck. Striped. Sports. Regular Fit,,1699,1999,575,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
New Product (Edit Me),UNC-NEWPRODUCT-2-1,38669B5C1C0D4,Master Version,Uncategorized,,,,1699,1999,575,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men's Inter Milan Football Jersey & Shorts Set - Blue & Black Striped Polo Neck Sports Kit,SPO-MENS-2-2,5C1A7A78F7144,,Sports & Activewear,Football Kits & Jerseys,Polyester. Short Sleeve. Polo Neck. Striped. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Puma Men Black & Red AC Milan Full-Zip Colorblocked Track Jacket,SPO-PUMAMEN-2-1,6270CBDDD4B44,,Sports & Activewear,Track Jackets,Polyester. Long Sleeves. High Neck. Colorblocked. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Men's Navy Blue & Yellow Geometric Printed Dry-Fit Football Jersey and Shorts Set,SPO-MENS-2-5,F7A35A247DA54,,Sports & Activewear,Sportswear Sets,Polyester. Short Sleeve. V-Neck. Geometric Print. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Puma Men Teal & White Graphic Printed Portugal Football Jersey T-Shirt,SPO-PUMAMEN-2-2,D0DFB603E35C4,Player Version,Sports Wear,Jerseys & Sports T-Shirts,Polyester. Short Sleeve. Round Neck. Graphic Print. Sports. Regular Fit,,1799,1999,680,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men's Inter Milan Blue and Black Striped Football Jersey with Shorts Kit Set,SPO-MENS-2-8,DDABD82479534,,Sports & Activewear,Football Kits & Jerseys,Polyester. Short Sleeve. Polo Collar. Striped. Sports. Regular Fit,,1699,2999,575,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men's Black & Gold Graphic Print Full-Zip Track Jacket,CLO-MENS-2-1,759368DCEB844,Jacket,Clothing,Jackets,Polyester Blend. Long Sleeves. Stand Collar. Graphic Print. Casual. Regular Fit,,2499,2999,1250,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
FC Barcelona x Kobe Bryant Mamba Edition Black & Purple Gradient Football Jersey,APP-FCBARCELONA-2,4BFB797C67C94,Player Version,Apparel,Sports & Activewear,Polyester. Short Sleeve. V-Neck. Snakeskin Print. Sports. Athletic Fit,,1799,1999,680,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men's Red Manchester United Football Home Jersey - Slim Fit Sports T-Shirt,APP-MENS-2-5,B9F57A2584534,Master Version,Apparel,Sports & Activewear,Polyester. Short Sleeve. Polo Collar. Logo Print / Striped. Sports. Slim Fit,,1699,1999,575,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men's Navy Blue & Orange Real Madrid Full-Zip Aeroready Track Jacket,APP-MENS-2-4,EF4B4BD15DCE4,Jacket,Apparel,Sportswear & Activewear,Polyester. Long Sleeves. Mock Neck. Colorblocked. Sports. Regular Fit,,2499,2999,1250,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Puma Men's Black Portugal Special Edition ULTRAWEAVE Football Jersey,APP-PUMAMEN-2-5,C817411CEFB64,Player Version,Apparel,Men's Activewear & T-Shirts,Polyester. Short Sleeves. Polo Collar. Self-Design. Sports. Regular Fit,,1799,1999,680,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men Sky Blue & White Manchester City Home Football Jersey and Shorts Set,SPO-MENSKY-2,9F7B124D3D9A4,Player Version,Sports & Activewear,Football Kits,Polyester. Short Sleeve. Round Neck. Printed. Sports. Regular Fit,,1799,1999,680,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men's Black & Gold Graphic Printed Full-Zip Sports Track Jacket,APP-MENS-2,C87381C2EEF94,,Apparel,Jackets,Polyester. Long Sleeves. High Neck. Graphic Print. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Puma Men Red & Black AC Milan Striped Football Jersey with Shorts Set,SPO-PUMAMEN-2,E97E07C2F30C4,,Sports Wear,Football Kits,Polyester. Short Sleeve. Round Neck. Striped. Sports. Regular Fit,,0,0,0,0,0,10,,,,,active
Men's Red Striped Short Sleeve Football Jersey and Shorts Activewear Kit,APP-MENS-2-1,CCD9E93A21D64,,Apparel,Activewear & Sportswear,Polyester. Short Sleeve. V-Neck. Striped. Sports. Slim,,0,0,0,0,0,10,,,,,active
Adidas Men White Germany DFB Retro Colorblocked Full-Zip Track Jacket,CLO-ADIDASMEN-2,60F79FAE8F934,Jacket,Clothing,Jackets,Polyester. Long Sleeves. Stand Collar. Colorblocked. Sports. Regular Fit,,2499,2999,1250,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Adidas Men's Royal Blue Manchester United Full-Zip Track Jacket,CLO-ADIDASMEN-2-2,99E79AB155094,Jersey,Clothing,Track Jackets & Tops,Polyester. Long Sleeve. High Neck. Striped & Brand Crest. Sports. Regular Fit,,2499,2999,1250,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Adidas Men Royal Blue Arsenal FC Originals Zip-Through Track Jacket,APP-ADIDASMEN-2-3,906C4210CC234,Jacket,Apparel,Jackets,Polyester. Long Sleeves. Mock Collar / Stand Collar. Brand Logo & Stripe Details. Casual / Sports. Regular Fit,,2499,2999,1250,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men's European Club Football Jerseys and Track Jackets Collection,APP-MENS-2-6,9D3EBD1416F44,Master Version,Apparel,Sportswear,Polyester. Varied. Varied. Striped. Sports. Regular,,1699,1999,575,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men Maroon & White Jordan x PSG Full-Zip Track Jacket,CLO-MENMAROON-2,1BB5D6299BC54,Jacket,Clothing,Jackets,Polyester. Long Sleeves. Stand Collar. Colorblocked. Sports. Regular Fit,,2499,2999,1250,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
New Product (Edit Me),UNC-NEWPRODUCT-2,E8EC2667628C4,Jacket,Uncategorized,,,,2499,2999,1250,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Puma Men Navy Blue & Sky Blue Manchester City Colorblocked High Neck Track Jacket,APP-PUMAMEN-2-6,87A9A2107FE24,Jacket,Apparel,Jackets,Polyester. Long Sleeves. High Neck. Colorblocked. Sports. Regular Fit,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",2499,2999,1250,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
Men's Printed Navy Blue Football Jersey Top with Shorts Set,SPO-MENS-2-9,1869062C9F964,Master Version,Sports & Activewear,Football Apparel,Polyester. Half Sleeve. V-Neck. Geometric Printed. Sports. Regular Fit,,1799,1999,575,0,0,10,,,,"Code: Mumbai_Suburban_400102_Ikitr  Address:  NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, NICCO KEY TECH PARK NEAR GOOD LUCK RESTAURANT JOGESHWARI WEST 400102 B WING G FLOOR-6389048172, Mumbai Suburban, Maharashtra, 400102, India",active
